Al	B	Ca	Cu	Fe	K	Mg	Mn	Na	P	Zn	N	C	Albox	Bbox	Cabox	Cubox	Febox	Kbox	Mgbox	Mnbox	Nabox	Pbox	Znbox	Nbox	Cbox	Alnorm	Bnorm	Canorm	Cunorm	Fenorm	Knorm	Mgnorm	Mnnorm	Nanorm	Pnorm	Znnorm	Nnorm	Cnorm
YL70	1002.31	17.64	6582.8	7.02	1246.14	14117.34	1957.47	48.24	5598.18	1057.27	8.61	9.33	420.13	30.77189948	1.107253686	10.43226761	1.692567904	44.14022642	25.49639248	241.9655061	4.310993361	165.1993925	8.987304817	1.613655662	3.418737619	88254.10845	-1.049853854	-0.02124421	-1.492404178	-0.221300119	-1.126658238	0.077968503	-0.324231584	-0.626368225	0.049586409	-0.309340999	-1.271952968	-0.771048869	1.240773954
YL72	2769.62	15.87	18911.84	10.53	3127	12150.95	2045.31	88.93	4546.17	969.93	15.89	12.8	386.47	45.63412269	1.09665031	11.93418722	1.987366553	65.82009323	24.66853206	249.261281	5.077395145	148.1595542	8.846950343	1.920246649	4.162886982	74679.03045	1.100334419	-0.493769569	0.956176539	0.287131937	0.89108913	-0.509831534	-0.092181706	0.558839611	-0.415240161	-0.592266244	0.02124421	0.177956597	-1.025590291
YL78	3720.26	21.36	15355.61	16.7	4660.78	15086.12	2467.07	119.51	3751.05	938.72	17	11.67	371.2	51.07293413	1.124262701	11.63295668	2.301828957	78.13006525	25.86991047	282.9643316	5.45687084	133.9691931	8.793931768	1.950902682	3.936611887	68894.22	1.755955277	0.829574037	0.446318449	1.100334419	1.907180829	0.309340999	0.477833997	1.240773954	-0.678941165	-0.661214792	0.294518693	-0.156414619	-1.755955277
YL86	1329.65	16.46	10631.65	10.53	1757.59	16483.71	1913.17	73.6	8642.76	833.56	11.69	12.13	398.6	34.3732024	1.100414669	11.1070709	1.987366553	51.29196278	26.37552354	238.2454972	4.837619239	207.2346419	8.602358378	1.773284644	4.030352184	79440.48	-0.558839611	-0.430727299	-0.354233577	0.287131937	-0.509831534	0.558839611	-0.399851988	0.077968503	0.912354903	-1.15378684	-0.733461771	-0.00708093	-0.26506362
YL89	832.55	10.84	8220.17	7.55	1115.84	13612.34	1768.59	51.22	3411.15	700.25	11.27	7.5	425.4	28.59926107	1.049845534	10.74343266	1.746799725	42.0519305	25.29328224	225.9029458	4.384987022	127.4614018	8.324249171	1.754902605	2.951901233	90482.08	-1.271952968	-2.002809497	-0.89108913	-0.106413557	-1.240773954	-0.092181706	-0.592266244	-0.558839611	-0.84972099	-1.584876705	-0.829574037	-1.450595047	1.584876705
YL90	1217.55	17.09	9134.14	4.79	1507.73	17067.37	3001.92	36.63	4800.04	1045.79	16.39	12.5	408.07	33.21121501	1.104172753	10.89203669	1.397959568	47.97652555	26.57631635	323.0998816	3.974183687	152.4326107	8.96948571	1.934384916	4.10410799	83260.06245	-0.733461771	-0.177956597	-0.733461771	-1.001915966	-0.771048869	0.696883497	1.411178153	-1.373839467	-0.279760815	-0.354233577	0.149250552	0.120666995	0.369353294
YL91	916.11	11.49	7225.38	3.41	1090.92	14912.8	1784.89	24.86	1482.16	837.62	18.12	7.07	421.73	29.70087395	1.057971462	10.56242096	1.121653194	41.63654479	25.80455959	227.3105415	3.508404823	82.18727577	8.610161469	1.979337993	2.831794477	88927.59645	-1.15378684	-1.693315232	-1.304420071	-1.636691647	-1.373839467	0.235836786	-0.542359867	-2.002809497	-1.755955277	-1.074751777	0.399851988	-1.610243846	1.304420071
YL94	2651.31	20.01	14828.95	28	3382.12	17569.85	2100.69	142.86	3204.55	1399.47	32.92	17.67	404.43	44.87753099	1.118755361	11.58272084	2.629593494	68.08067565	26.74472085	253.8082808	5.688958664	123.3517053	9.449692075	2.222035831	5.013476267	81781.31245	0.912354903	0.609228667	0.354233577	2.002809497	1.049853854	0.829574037	-0.00708093	1.693315232	-0.912354903	0.526026123	1.304420071	1.392266183	0.149250552
YL97	2394.74	18.72	15411.04	13.47	2776.65	20390.3	2643.49	97.28	5273.95	1576.22	29.17	16.7	394.63	43.15923654	1.112822925	11.63814714	2.157938738	62.53241017	27.62275608	296.491814	5.191984249	160.1266991	9.648592377	2.176120498	4.857357745	77865.91845	0.752122489	0.294518693	0.462018859	0.790255566	0.6436938	1.450595047	0.870218897	0.829574037	-0.077968503	0.733461771	1.18179227	1.100334419	-0.526026123
YL101	4707.22	24.16	19316.39	17.54	5301.67	20862.45	3548.73	150.69	4168.14	1663.07	33.45	18.5	359.73	55.84465125	1.133886873	11.96492794	2.334043666	82.56018237	27.75986775	361.7718292	5.758785841	141.5767683	9.738835413	2.227983212	5.142747023	64702.33645	2.121279302	1.15378684	1.025590291	1.210756606	2.280148711	1.636691647	2.121279302	1.826356298	-0.493769569	0.89108913	1.373839467	1.492404178	-2.121279302
YL103	998.47	18.21	8076.51	9.37	2582.25	16160.8	1620.68	72.29	7692.85	1056.87	11.41	10.73	418.23	30.72546903	1.110267781	10.71863904	1.904315323	60.60263742	26.26191777	212.92897	4.814986654	195.0244877	8.986686974	1.761126204	3.737400415	87457.66645	-1.074751777	0.120666995	-0.934041501	0.221300119	0.430727299	0.477833997	-0.956176539	0.02124421	0.592266244	-0.324231584	-0.790255566	-0.331703716	1.074751777
YL105	1484.96	17.83	13667.92	17.66	2721.57	31661.05	2171.93	69.64	4851.46	1949.97	27.6	14.67	408.7	35.8838716	1.108277826	11.46562166	2.338500864	61.99388182	30.35999938	259.600199	4.767991684	153.2846791	10.00862052	2.154588185	4.51068767	83517.345	-0.339194414	0.042498014	0.163586723	1.240773954	0.592266244	2.533299536	0.120666995	-0.00708093	-0.235836786	1.271952968	1.100334419	0.65242926	0.415240161
YL106	1642.9	14.68	11572.21	8.1	1934.12	14719.28	2217.54	61.59	4746.86	1083.66	16.48	12.97	414.3	37.31980157	1.088226685	11.22768039	1.79864003	53.47104795	25.73085232	263.275709	4.614083088	151.5467232	9.027594535	1.936871107	4.195803026	85821.745	-0.163586723	-0.912354903	-0.134944991	0.02124421	-0.309340999	0.192363314	0.149250552	-0.221300119	-0.309340999	-0.279760815	0.177956597	0.26506362	0.809758313
YL107	2686.66	16.61	13479.53	7.11	3028.7	16723.92	1739.29	67.93	5255.89	902.16	21.24	10.23	400.73	45.10581605	1.101332922	11.44572324	1.702102076	64.92036446	26.45885629	223.3619992	4.736759985	159.839771	8.729699638	2.047957894	3.626839645	80291.76645	0.978790275	-0.384557925	0.092181706	-0.192363314	0.771048869	0.6436938	-0.696883497	-0.049586409	-0.106413557	-0.733461771	0.678941165	-0.477833997	-0.106413557
YL115	1258.45	18.92	10988.79	6.06	1783.38	23448.06	3097.51	38.02	4724.54	1301.99	15.72	16.8	396.97	33.64279587	1.113790741	11.15403344	1.581196582	51.61805286	28.46855264	330.0166917	4.019454587	151.1734816	9.329760185	1.915309128	4.873717423	78792.09045	-0.661214792	0.354233577	-0.250423463	-0.446318449	-0.493769569	2.002809497	1.636691647	-1.240773954	-0.339194414	0.294518693	0.00708093	1.140117653	-0.339194414
YL116	1930.29	19.48	13235.42	12.15	2567.39	21092.94	3030.43	93.79	4630.05	1464.44	16.04	17.67	380.27	39.72119382	1.116404403	11.4195377	2.087251763	60.45168152	27.82587968	325.1702883	5.145267529	149.5838667	9.525384863	1.924547371	5.013476267	72302.13645	0.235836786	0.462018859	0.049586409	0.575472548	0.415240161	1.693315232	1.492404178	0.678941165	-0.369353294	0.609228667	0.092181706	1.392266183	-1.240773954
YL118	1214.67	16.32	10729.89	12.11	1642.53	18380.32	2671.97	78.71	5309.86	1137.84	12.34	17.53	407.1	33.18047792	1.099543814	11.12013865	2.084973779	49.80196621	27.00820686	298.6474936	4.922406107	160.6958112	9.107529562	1.800124487	4.991289475	82864.705	-0.752122489	-0.462018859	-0.309340999	0.542359867	-0.6436938	1.025590291	0.978790275	0.235836786	-0.063771035	-0.120666995	-0.661214792	1.321182026	0.309340999
